sb-ap1	06:a1:51:9d:60:f8	10.128.3.85	6	153	0
sb-ap2	46:94:fc:72:f5:93	10.0.3.52	11	157	0
show-ap5	e2:46:9a:5a:df:e0	10.0.3.65	6	48	0
show-ap9	e2:46:9a:5a:e0:6d	10.0.3.69	11	161	0
spare-ap10	e2:46:9a:5a:e0:0d	10.128.3.60	6	40	0
spare-ap12	e2:46:9a:5a:be:41	10.0.3.70	11	44	0
spare-ap14	e2:46:9a:5a:e3:88	10.128.3.64	6	149	0
spare-ap15	e2:46:9a:5a:e6:25	10.128.3.65	11	153	0
spare-ap17	e2:46:9a:5a:e9:22	10.128.3.67	6	161	0
spare-ap18	e2:46:9a:5a:f0:24	10.128.3.68	11	36	0
spare-ap19	e2:46:9a:5a:bf:94	10.128.3.69	1	40	0
spare-ap20	e2:46:9a:5a:c0:c6	10.128.3.70	6	44	0
spare-ap22	0a:bd:43:b2:8b:56	10.128.3.72	1	149	0
spare-ap3	76:44:01:93:54:51	10.128.3.53	6	153	0
spare-ap6	e2:46:9a:5a:e0:c4	10.128.3.56	6	36	0
spare-ap7	e2:46:9a:5a:c0:54	10.128.3.57	11	40	0
spare-ap8	e2:46:9a:51:74:30	10.0.3.58	1	44	0
ulobby-ap1	c6:04:15:a3:90:8c	10.128.3.40	11	149	0
ulobby-ap2	c6:04:15:9a:64:82	10.128.3.41	1	153	0
ulobby-ap3	e2:46:9a:5a:df:b0	10.128.3.54	11	157	0
ulobby-ap4	0a:bd:43:ac:b0:12	10.128.3.43	11	161	0
