sanlorenzoe-1,n7a-0031,e0:46:9a:5a:df:e0,10.3.0.105,11,165,0,0,50,50
sanlorenzoe-2,n7a-0091,e0:46:9a:5a:ec:85,10.3.0.100,1,48,0,0,50,50
sanlorenzof-1,n7a-0077,e0:46:9a:5a:c0:54,10.3.0.80,6,161,0,0,50,50
sanlorenzof-2,n7a-0093,e0:46:9a:5a:c0:36,10.3.0.94,1,169,0,0,50,50
santamonicaa-1,n8c-0100,44:94:fc:73:02:80,10.3.0.26,6,40,0,0,50,50
santamonicab-1,n8c-0006,74:44:01:7a:9c:3e,10.3.0.48,11,177,0,0,50,50
santamonicab-2,n8c-0033,2c:b0:5d:87:3a:4c,10.3.0.27,11,44,0,0,50,50
santamonicab-3,n8c-0014,74:44:01:93:75:d2,10.3.0.57,11,165,0,0,50,50
santamonicac-1,n8c-0012,2c:b0:5d:a0:db:52,10.3.0.55,1,157,0,0,50,50
santamonicac-2,n8c-0039,04:a1:51:a0:16:85,10.3.0.20,6,161,0,0,50,50
santamonicac-3,n8c-0025,74:44:01:96:52:b2,10.3.0.28,1,48,0,0,50,50
spare1,n8t-0057,08:bd:43:c8:74:69,10.3.0.24,11,177,0,0,50,50
spare2,n8t-0053,c4:04:15:90:1b:d1,10.3.0.10,1,169,0,0,50,50
tt2d-1,n7a-0086,e0:46:9a:5a:c0:51,10.3.0.92,6,161,0,0,50,50
